country,Act.and.or.practice,Coverage,Timeframe,References,cluster,Region,Cov.Name,name,policy.description
singapore,Cyber Security Agency,,,https://web.archive.org/web/20211005135241/https://www.csa.gov.sg/News/Publications/singapore-cybersecurity-strategy-2021,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://web.archive.org/web/20201007081315/https://www.csa.gov.sg/programmes/cybersecurity-labelling/about-cls,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://www.csa.gov.sg/,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://www.csa.gov.sg/Programmes/csa-common-criteria/about,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://www.csa.gov.sg/Programmes/SGCyberTalent/About,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://www.csa.gov.sg/Programmes/SGCyberTalent/SGCyberWomen,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://www.csa.gov.sg/Programmes/sgcybersafe/about,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://web.archive.org/web/20200810110430/https://www.csa.gov.sg/programmes/sgcybertalent/about,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://web.archive.org/web/20200928100820/https://www.csa.gov.sg/programmes/sgcybertalent/sgcyberwomen,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://web.archive.org/web/20211020063535/https://www.csa.gov.sg/Programmes/sgcybersafe/about,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,http://csa.gov.sg/,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://web.archive.org/web/20211023051018/https://www.csa.gov.sg/Programmes/csa-common-criteria/about,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Cyber Security Agency,,,https://www.nas.gov.sg/archivesonline/data/pdfdoc/20160927002/Press%20release%20-%20Singapore%20International%20Cyber%20Week%202016_27%20Sep%202016.pdf,Digital Trade — Pillar 7,Singapore,,7.2,From Wikipedia: Cyber Security Agency (curated)
singapore,Personal Data Protection Act 2012,,,https://sso.agc.gov.sg/Acts-Supp/40-2020/,Digital Trade — Pillar 7,Singapore,,7.3,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Personal Data Protection Act 2012,,,https://www.pdpc.gov.sg/Who-We-Are/About-Us,Digital Trade — Pillar 7,Singapore,,7.3,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Personal Data Protection Act 2012,,,https://www.mddi.gov.sg/media-centre/press-releases/new-chief-executive-appointed-to-infocomm-media-development-authority/,Digital Trade — Pillar 7,Singapore,,7.3,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Personal Data Protection Act 2012,,,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/ms-denise-wong-appointed-as-commissioner-for-pdpc,Digital Trade — Pillar 7,Singapore,,7.3,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Personal Data Protection Act 2012,,,https://sso.agc.gov.sg/Acts-Supp/40-2020/,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Personal Data Protection Act 2012,,,https://www.pdpc.gov.sg/Who-We-Are/About-Us,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Personal Data Protection Act 2012,,,https://www.mddi.gov.sg/media-centre/press-releases/new-chief-executive-appointed-to-infocomm-media-development-authority/,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Personal Data Protection Act 2012,,,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/ms-denise-wong-appointed-as-commissioner-for-pdpc,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Personal Data Protection Act 2012 (curated)
singapore,Protection from Harassment Act (Singapore),,,https://www.mlaw.gov.sg/news/parliamentary-speeches-and-responses/2R-by-minister-on-protection-from-harassment-act.html,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Protection from Harassment Act (Singapore) (search)
singapore,Protection from Harassment Act (Singapore),,,https://www.statecourts.gov.sg/cws/Mediation_ADR/Pages/An-Overview%20of%20Mediation.aspx,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Protection from Harassment Act (Singapore) (search)
singapore,Protection from Harassment Act (Singapore),,,https://sso.agc.gov.sg/Act/CPC2010?ProvIds=P1XIII-,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Protection from Harassment Act (Singapore) (search)
singapore,Protection from Harassment Act (Singapore),,,https://sso.agc.gov.sg/Act/PHA2014,Digital Trade — Pillar 7,Singapore,,7.4,From Wikipedia: Protection from Harassment Act (Singapore) (search)
